# JMH version: 1.23
# VM version: JDK 11.0.7, OpenJDK 64-Bit Server VM, 11.0.7+10-post-Ubuntu-3ubuntu1
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: <none>
# Warmup: 5 iterations, 10 s each
# Measurement: 5 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.sun.glass.ui.monocle.Benchmarks.copyTo08New
# Parameters: (type = large)

# Run progress: 0.00% complete, ETA 01:23:20
# Fork: 1 of 5
# Warmup Iteration   1: 128.482 ops/s
# Warmup Iteration   2: 128.500 ops/s
# Warmup Iteration   3: 127.595 ops/s
# Warmup Iteration   4: 125.737 ops/s
# Warmup Iteration   5: 128.735 ops/s
Iteration   1: 128.740 ops/s
Iteration   2: 128.729 ops/s
Iteration   3: 128.785 ops/s
Iteration   4: 128.734 ops/s
Iteration   5: 128.759 ops/s

# Run progress: 2.00% complete, ETA 01:26:00
# Fork: 2 of 5
# Warmup Iteration   1: 128.441 ops/s
# Warmup Iteration   2: 128.723 ops/s
# Warmup Iteration   3: 128.693 ops/s
# Warmup Iteration   4: 128.680 ops/s
# Warmup Iteration   5: 128.655 ops/s
Iteration   1: 128.691 ops/s
Iteration   2: 128.662 ops/s
Iteration   3: 128.708 ops/s
Iteration   4: 128.684 ops/s
Iteration   5: 128.720 ops/s

# Run progress: 4.00% complete, ETA 01:22:14
# Fork: 3 of 5
# Warmup Iteration   1: 128.548 ops/s
# Warmup Iteration   2: 128.825 ops/s
# Warmup Iteration   3: 128.834 ops/s
# Warmup Iteration   4: 128.801 ops/s
# Warmup Iteration   5: 128.791 ops/s
Iteration   1: 128.818 ops/s
Iteration   2: 128.841 ops/s
Iteration   3: 128.823 ops/s
Iteration   4: 128.840 ops/s
Iteration   5: 128.779 ops/s

# Run progress: 6.00% complete, ETA 01:19:51
# Fork: 4 of 5
# Warmup Iteration   1: 128.611 ops/s
# Warmup Iteration   2: 128.837 ops/s
# Warmup Iteration   3: 128.833 ops/s
# Warmup Iteration   4: 128.769 ops/s
# Warmup Iteration   5: 128.790 ops/s
Iteration   1: 128.826 ops/s
Iteration   2: 128.834 ops/s
Iteration   3: 128.808 ops/s
Iteration   4: 128.817 ops/s
Iteration   5: 128.799 ops/s

# Run progress: 8.00% complete, ETA 01:17:50
# Fork: 5 of 5
# Warmup Iteration   1: 128.563 ops/s
# Warmup Iteration   2: 128.815 ops/s
# Warmup Iteration   3: 128.801 ops/s
# Warmup Iteration   4: 128.701 ops/s
# Warmup Iteration   5: 128.781 ops/s
Iteration   1: 128.807 ops/s
Iteration   2: 128.818 ops/s
Iteration   3: 128.783 ops/s
Iteration   4: 128.823 ops/s
Iteration   5: 128.780 ops/s


Result "com.sun.glass.ui.monocle.Benchmarks.copyTo08New":
  128.776 ±(99.9%) 0.040 ops/s [Average]
  (min, avg, max) = (128.662, 128.776, 128.841), stdev = 0.054
  CI (99.9%): [128.736, 128.816] (assumes normal distribution)


# JMH version: 1.23
# VM version: JDK 11.0.7, OpenJDK 64-Bit Server VM, 11.0.7+10-post-Ubuntu-3ubuntu1
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: <none>
# Warmup: 5 iterations, 10 s each
# Measurement: 5 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.sun.glass.ui.monocle.Benchmarks.copyTo16New
# Parameters: (type = large)

# Run progress: 10.00% complete, ETA 01:15:57
# Fork: 1 of 5
# Warmup Iteration   1: 132.365 ops/s
