# JMH version: 1.23
# VM version: JDK 14.0.1, OpenJDK Server VM, 14.0.1+7
# VM invoker: /home/ubuntu/opt/jdk-14.0.1+7/bin/java
# VM options: <none>
# Warmup: 5 iterations, 10 s each
# Measurement: 5 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.sun.glass.ui.monocle.Benchmarks.copyTo08New
# Parameters: (type = large)

# Run progress: 0.00% complete, ETA 01:23:20
# Fork: 1 of 5
# Warmup Iteration   1: 4.995 ops/s
# Warmup Iteration   2: 5.458 ops/s
# Warmup Iteration   3: 5.604 ops/s
# Warmup Iteration   4: 5.616 ops/s
# Warmup Iteration   5: 5.617 ops/s
Iteration   1: 5.625 ops/s
Iteration   2: 5.622 ops/s
Iteration   3: 5.618 ops/s
Iteration   4: 5.620 ops/s
Iteration   5: 5.621 ops/s

# Run progress: 2.00% complete, ETA 01:30:57
# Fork: 2 of 5
# Warmup Iteration   1: 5.993 ops/s
# Warmup Iteration   2: 6.821 ops/s
# Warmup Iteration   3: 6.860 ops/s
# Warmup Iteration   4: 6.861 ops/s
# Warmup Iteration   5: 6.803 ops/s
Iteration   1: 6.857 ops/s
Iteration   2: 6.865 ops/s
Iteration   3: 6.828 ops/s
Iteration   4: 6.857 ops/s
Iteration   5: 6.856 ops/s

# Run progress: 4.00% complete, ETA 01:27:54
# Fork: 3 of 5
# Warmup Iteration   1: 6.141 ops/s
# Warmup Iteration   2: 6.832 ops/s
# Warmup Iteration   3: 6.847 ops/s
# Warmup Iteration   4: 6.839 ops/s
# Warmup Iteration   5: 6.845 ops/s
Iteration   1: 6.844 ops/s
Iteration   2: 6.841 ops/s
Iteration   3: 6.823 ops/s
Iteration   4: 6.797 ops/s
Iteration   5: 6.837 ops/s

# Run progress: 6.00% complete, ETA 01:25:52
# Fork: 4 of 5
# Warmup Iteration   1: 4.989 ops/s
# Warmup Iteration   2: 5.652 ops/s
# Warmup Iteration   3: 5.656 ops/s
# Warmup Iteration   4: 5.658 ops/s
# Warmup Iteration   5: 5.641 ops/s
Iteration   1: 5.661 ops/s
Iteration   2: 5.661 ops/s
Iteration   3: 5.658 ops/s
Iteration   4: 5.657 ops/s
Iteration   5: 5.632 ops/s

# Run progress: 8.00% complete, ETA 01:23:50
# Fork: 5 of 5
# Warmup Iteration   1: 5.341 ops/s
# Warmup Iteration   2: 5.613 ops/s
# Warmup Iteration   3: 5.670 ops/s
# Warmup Iteration   4: 5.673 ops/s
# Warmup Iteration   5: 5.678 ops/s
Iteration   1: 5.673 ops/s
Iteration   2: 5.680 ops/s
Iteration   3: 5.673 ops/s
Iteration   4: 5.671 ops/s
Iteration   5: 5.670 ops/s


Result "com.sun.glass.ui.monocle.Benchmarks.copyTo08New":
  6.126 ±(99.9%) 0.446 ops/s [Average]
  (min, avg, max) = (5.618, 6.126, 6.865), stdev = 0.596
  CI (99.9%): [5.679, 6.572] (assumes normal distribution)


# JMH version: 1.23
# VM version: JDK 14.0.1, OpenJDK Server VM, 14.0.1+7
# VM invoker: /home/ubuntu/opt/jdk-14.0.1+7/bin/java
# VM options: <none>
# Warmup: 5 iterations, 10 s each
# Measurement: 5 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.sun.glass.ui.monocle.Benchmarks.copyTo16New
# Parameters: (type = large)

# Run progress: 10.00% complete, ETA 01:21:54
# Fork: 1 of 5
# Warmup Iteration   1: 14.724 ops/s
# Warmup Iteration   2: 16.280 ops/s
# Warmup Iteration   3: 16.449 ops/s
# Warmup Iteration   4: 16.451 ops/s
# Warmup Iteration   5: 16.492 ops/s
Iteration   1: 16.480 ops/s
Iteration   2: 15.504 ops/s
Iteration   3: 13.678 ops/s
Iteration   4: 16.494 ops/s
Iteration   5: 15.766 ops/s

# Run progress: 12.00% complete, ETA 01:20:03
# Fork: 2 of 5
# Warmup Iteration   1: 14.267 ops/s
# Warmup Iteration   2: 15.862 ops/s
# Warmup Iteration   3: 15.918 ops/s
# Warmup Iteration   4: 15.921 ops/s
# Warmup Iteration   5: 15.927 ops/s
Iteration   1: 15.932 ops/s
Iteration   2: 15.945 ops/s
Iteration   3: 13.537 ops/s
Iteration   4: 15.876 ops/s
Iteration   5: 15.918 ops/s

# Run progress: 14.00% complete, ETA 01:18:09
# Fork: 3 of 5
# Warmup Iteration   1: 13.685 ops/s
# Warmup Iteration   2: 15.949 ops/s
# Warmup Iteration   3: 16.025 ops/s
# Warmup Iteration   4: 15.905 ops/s
# Warmup Iteration   5: 16.023 ops/s
Iteration   1: 16.025 ops/s
Iteration   2: 16.041 ops/s
Iteration   3: 13.597 ops/s
Iteration   4: 16.005 ops/s
Iteration   5: 16.011 ops/s

# Run progress: 16.00% complete, ETA 01:16:16
# Fork: 4 of 5
# Warmup Iteration   1: 12.544 ops/s
# Warmup Iteration   2: 15.837 ops/s
# Warmup Iteration   3: 15.975 ops/s
# Warmup Iteration   4: 15.886 ops/s
# Warmup Iteration   5: 15.963 ops/s
Iteration   1: 15.976 ops/s
Iteration   2: 15.986 ops/s
Iteration   3: 14.138 ops/s
Iteration   4: 14.419 ops/s
Iteration   5: 15.976 ops/s

# Run progress: 18.00% complete, ETA 01:14:24
# Fork: 5 of 5
# Warmup Iteration   1: 14.315 ops/s
# Warmup Iteration   2: 15.752 ops/s
