# JMH version: 1.23
# VM version: JDK 11.0.7, OpenJDK Server VM, 11.0.7+10
# VM invoker: /home/ubuntu/opt/jdk-11.0.7+10/bin/java
# VM options: <none>
# Warmup: 5 iterations, 10 s each
# Measurement: 5 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.sun.glass.ui.monocle.Benchmarks.copyTo08New
# Parameters: (type = large)

# Run progress: 0.00% complete, ETA 01:23:20
# Fork: 1 of 5
# Warmup Iteration   1: 4.595 ops/s
# Warmup Iteration   2: 4.365 ops/s
# Warmup Iteration   3: 4.486 ops/s
# Warmup Iteration   4: 4.509 ops/s
# Warmup Iteration   5: 4.510 ops/s
Iteration   1: 4.506 ops/s
Iteration   2: 4.507 ops/s
Iteration   3: 4.505 ops/s
Iteration   4: 4.506 ops/s
Iteration   5: 4.510 ops/s

# Run progress: 2.00% complete, ETA 01:32:15
# Fork: 2 of 5
# Warmup Iteration   1: 5.459 ops/s
# Warmup Iteration   2: 6.011 ops/s
# Warmup Iteration   3: 6.017 ops/s
# Warmup Iteration   4: 6.019 ops/s
# Warmup Iteration   5: 5.993 ops/s
Iteration   1: 6.012 ops/s
Iteration   2: 5.994 ops/s
Iteration   3: 5.995 ops/s
Iteration   4: 6.021 ops/s
Iteration   5: 6.024 ops/s

# Run progress: 4.00% complete, ETA 01:29:26
# Fork: 3 of 5
# Warmup Iteration   1: 5.516 ops/s
# Warmup Iteration   2: 6.015 ops/s
# Warmup Iteration   3: 6.026 ops/s
# Warmup Iteration   4: 5.894 ops/s
# Warmup Iteration   5: 6.026 ops/s
Iteration   1: 6.025 ops/s
Iteration   2: 6.016 ops/s
Iteration   3: 6.026 ops/s
Iteration   4: 5.987 ops/s
Iteration   5: 6.008 ops/s

# Run progress: 6.00% complete, ETA 01:27:18
# Fork: 4 of 5
# Warmup Iteration   1: 4.603 ops/s
# Warmup Iteration   2: 4.559 ops/s
# Warmup Iteration   3: 4.558 ops/s
# Warmup Iteration   4: 4.560 ops/s
# Warmup Iteration   5: 4.561 ops/s
Iteration   1: 4.564 ops/s
Iteration   2: 4.564 ops/s
Iteration   3: 4.561 ops/s
Iteration   4: 4.559 ops/s
Iteration   5: 4.563 ops/s

# Run progress: 8.00% complete, ETA 01:25:08
# Fork: 5 of 5
# Warmup Iteration   1: 4.532 ops/s
# Warmup Iteration   2: 4.477 ops/s
# Warmup Iteration   3: 4.467 ops/s
# Warmup Iteration   4: 4.475 ops/s
# Warmup Iteration   5: 4.487 ops/s
Iteration   1: 4.488 ops/s
Iteration   2: 4.493 ops/s
Iteration   3: 4.488 ops/s
Iteration   4: 4.490 ops/s
Iteration   5: 4.487 ops/s


Result "com.sun.glass.ui.monocle.Benchmarks.copyTo08New":
  5.116 ±(99.9%) 0.559 ops/s [Average]
  (min, avg, max) = (4.487, 5.116, 6.026), stdev = 0.746
  CI (99.9%): [4.557, 5.675] (assumes normal distribution)


# JMH version: 1.23
# VM version: JDK 11.0.7, OpenJDK Server VM, 11.0.7+10
# VM invoker: /home/ubuntu/opt/jdk-11.0.7+10/bin/java
# VM options: <none>
# Warmup: 5 iterations, 10 s each
# Measurement: 5 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.sun.glass.ui.monocle.Benchmarks.copyTo16New
# Parameters: (type = large)

# Run progress: 10.00% complete, ETA 01:23:06
# Fork: 1 of 5
# Warmup Iteration   1: 16.114 ops/s
# Warmup Iteration   2: 18.102 ops/s
# Warmup Iteration   3: 18.117 ops/s
# Warmup Iteration   4: 17.960 ops/s
# Warmup Iteration   5: 18.099 ops/s
Iteration   1: 18.119 ops/s
Iteration   2: 18.090 ops/s
Iteration   3: 18.128 ops/s
Iteration   4: 18.060 ops/s
Iteration   5: 18.127 ops/s

# Run progress: 12.00% complete, ETA 01:21:11
# Fork: 2 of 5
# Warmup Iteration   1: 12.563 ops/s
# Warmup Iteration   2: 15.001 ops/s
# Warmup Iteration   3: 15.013 ops/s
# Warmup Iteration   4: 15.002 ops/s
# Warmup Iteration   5: 15.008 ops/s
Iteration   1: 15.008 ops/s
Iteration   2: 15.023 ops/s
Iteration   3: 14.990 ops/s
Iteration   4: 15.010 ops/s
Iteration   5: 14.942 ops/s

# Run progress: 14.00% complete, ETA 01:19:12
