# JMH version: 1.23
# VM version: JDK 13.0.2, OpenJDK Server VM, 13.0.2+8
# VM invoker: /home/ubuntu/opt/jdk-13.0.2+8/bin/java
# VM options: <none>
# Warmup: 5 iterations, 10 s each
# Measurement: 5 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.sun.glass.ui.monocle.Benchmarks.copyTo08New
# Parameters: (type = large)

# Run progress: 0.00% complete, ETA 01:23:20
# Fork: 1 of 5
# Warmup Iteration   1: 2.747 ops/s
# Warmup Iteration   2: 2.736 ops/s
# Warmup Iteration   3: 2.769 ops/s
# Warmup Iteration   4: 2.768 ops/s
# Warmup Iteration   5: 2.766 ops/s
Iteration   1: 2.769 ops/s
Iteration   2: 2.769 ops/s
Iteration   3: 2.767 ops/s
Iteration   4: 2.766 ops/s
Iteration   5: 2.765 ops/s

# Run progress: 2.00% complete, ETA 01:33:28
# Fork: 2 of 5
# Warmup Iteration   1: 3.401 ops/s
# Warmup Iteration   2: 3.217 ops/s
# Warmup Iteration   3: 3.212 ops/s
# Warmup Iteration   4: 3.211 ops/s
# Warmup Iteration   5: 3.213 ops/s
Iteration   1: 3.216 ops/s
Iteration   2: 3.213 ops/s
Iteration   3: 3.224 ops/s
Iteration   4: 3.226 ops/s
Iteration   5: 3.219 ops/s

# Run progress: 4.00% complete, ETA 01:31:15
# Fork: 3 of 5
# Warmup Iteration   1: 3.427 ops/s
# Warmup Iteration   2: 3.221 ops/s
# Warmup Iteration   3: 3.218 ops/s
# Warmup Iteration   4: 3.216 ops/s
# Warmup Iteration   5: 3.220 ops/s
Iteration   1: 3.223 ops/s
Iteration   2: 3.221 ops/s
Iteration   3: 3.226 ops/s
Iteration   4: 3.214 ops/s
Iteration   5: 3.217 ops/s

# Run progress: 6.00% complete, ETA 01:29:15
# Fork: 4 of 5
# Warmup Iteration   1: 3.413 ops/s
# Warmup Iteration   2: 3.214 ops/s
# Warmup Iteration   3: 3.218 ops/s
# Warmup Iteration   4: 3.226 ops/s
# Warmup Iteration   5: 3.215 ops/s
Iteration   1: 3.215 ops/s
Iteration   2: 3.222 ops/s
Iteration   3: 3.213 ops/s
Iteration   4: 3.221 ops/s
Iteration   5: 3.219 ops/s

# Run progress: 8.00% complete, ETA 01:27:16
# Fork: 5 of 5
# Warmup Iteration   1: 2.750 ops/s
# Warmup Iteration   2: 2.765 ops/s
# Warmup Iteration   3: 2.769 ops/s
# Warmup Iteration   4: 2.769 ops/s
# Warmup Iteration   5: 2.770 ops/s
Iteration   1: 2.766 ops/s
Iteration   2: 2.773 ops/s
Iteration   3: 2.768 ops/s
Iteration   4: 2.768 ops/s
Iteration   5: 2.763 ops/s


Result "com.sun.glass.ui.monocle.Benchmarks.copyTo08New":
  3.039 ±(99.9%) 0.169 ops/s [Average]
  (min, avg, max) = (2.763, 3.039, 3.226), stdev = 0.226
  CI (99.9%): [2.869, 3.208] (assumes normal distribution)


# JMH version: 1.23
# VM version: JDK 13.0.2, OpenJDK Server VM, 13.0.2+8
# VM invoker: /home/ubuntu/opt/jdk-13.0.2+8/bin/java
# VM options: <none>
# Warmup: 5 iterations, 10 s each
# Measurement: 5 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.sun.glass.ui.monocle.Benchmarks.copyTo16New
# Parameters: (type = large)

# Run progress: 10.00% complete, ETA 01:25:07
# Fork: 1 of 5
# Warmup Iteration   1: 3.721 ops/s
# Warmup Iteration   2: 4.017 ops/s
# Warmup Iteration   3: 4.021 ops/s
# Warmup Iteration   4: 4.029 ops/s
# Warmup Iteration   5: 4.022 ops/s
Iteration   1: 4.024 ops/s
Iteration   2: 4.028 ops/s
Iteration   3: 4.024 ops/s
Iteration   4: 4.030 ops/s
Iteration   5: 4.033 ops/s

# Run progress: 12.00% complete, ETA 01:23:14
# Fork: 2 of 5
# Warmup Iteration   1: 4.528 ops/s
# Warmup Iteration   2: 5.240 ops/s
# Warmup Iteration   3: 5.230 ops/s
# Warmup Iteration   4: 5.239 ops/s
# Warmup Iteration   5: 5.243 ops/s
Iteration   1: 5.237 ops/s
Iteration   2: 5.243 ops/s
Iteration   3: 5.243 ops/s
Iteration   4: 5.237 ops/s
Iteration   5: 5.249 ops/s

# Run progress: 14.00% complete, ETA 01:21:12
# Fork: 3 of 5
# Warmup Iteration   1: 3.738 ops/s
# Warmup Iteration   2: 4.026 ops/s
# Warmup Iteration   3: 4.024 ops/s
# Warmup Iteration   4: 4.032 ops/s
# Warmup Iteration   5: 4.030 ops/s
Iteration   1: 4.029 ops/s
Iteration   2: 4.033 ops/s
Iteration   3: 4.032 ops/s
Iteration   4: 4.033 ops/s
Iteration   5: 4.039 ops/s

# Run progress: 16.00% complete, ETA 01:19:16
# Fork: 4 of 5
# Warmup Iteration   1: 3.728 ops/s
# Warmup Iteration   2: 4.029 ops/s
# Warmup Iteration   3: 4.024 ops/s
# Warmup Iteration   4: 4.029 ops/s
# Warmup Iteration   5: 4.033 ops/s
Iteration   1: 4.029 ops/s
Iteration   2: 4.033 ops/s
Iteration   3: 4.027 ops/s
Iteration   4: 4.029 ops/s
Iteration   5: 4.025 ops/s

# Run progress: 18.00% complete, ETA 01:17:20
# Fork: 5 of 5
# Warmup Iteration   1: 3.738 ops/s
# Warmup Iteration   2: 4.040 ops/s
# Warmup Iteration   3: 4.027 ops/s
# Warmup Iteration   4: 4.032 ops/s
# Warmup Iteration   5: 4.035 ops/s
Iteration   1: 4.036 ops/s
Iteration   2: 4.030 ops/s
Iteration   3: 4.036 ops/s
Iteration   4: 4.035 ops/s
Iteration   5: 4.030 ops/s


Result "com.sun.glass.ui.monocle.Benchmarks.copyTo16New":
  4.273 ±(99.9%) 0.370 ops/s [Average]
  (min, avg, max) = (4.024, 4.273, 5.249), stdev = 0.494
  CI (99.9%): [3.903, 4.643] (assumes normal distribution)


# JMH version: 1.23
# VM version: JDK 13.0.2, OpenJDK Server VM, 13.0.2+8
# VM invoker: /home/ubuntu/opt/jdk-13.0.2+8/bin/java
# VM options: <none>
# Warmup: 5 iterations, 10 s each
# Measurement: 5 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.sun.glass.ui.monocle.Benchmarks.copyTo16Old
# Parameters: (type = large)

# Run progress: 20.00% complete, ETA 01:15:25
# Fork: 1 of 5
# Warmup Iteration   1: 3.122 ops/s
# Warmup Iteration   2: 3.337 ops/s
# Warmup Iteration   3: 3.333 ops/s
