# JMH version: 1.22
# VM version: JDK 12.0.2, OpenJDK Server VM, 12.0.2+10
# VM invoker: /home/ubuntu/opt/jdk-12.0.2+10/bin/java
# VM options: <none>
# Warmup: 5 iterations, 10 s each
# Measurement: 5 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.sun.glass.ui.monocle.Benchmarks.copyTo08New
# Parameters: (type = large)

# Run progress: 0.00% complete, ETA 01:23:20
# Fork: 1 of 5
# Warmup Iteration   1: 5.535 ops/s
# Warmup Iteration   2: 5.932 ops/s
# Warmup Iteration   3: 6.074 ops/s
# Warmup Iteration   4: 6.091 ops/s
# Warmup Iteration   5: 5.684 ops/s
Iteration   1: 6.090 ops/s
Iteration   2: 6.088 ops/s
Iteration   3: 6.028 ops/s
Iteration   4: 6.096 ops/s
Iteration   5: 6.090 ops/s

# Run progress: 2.00% complete, ETA 01:31:07
# Fork: 2 of 5
# Warmup Iteration   1: 5.525 ops/s
# Warmup Iteration   2: 6.079 ops/s
# Warmup Iteration   3: 6.066 ops/s
# Warmup Iteration   4: 6.088 ops/s
# Warmup Iteration   5: 6.101 ops/s
Iteration   1: 6.096 ops/s
Iteration   2: 6.102 ops/s
Iteration   3: 6.092 ops/s
Iteration   4: 6.096 ops/s
Iteration   5: 6.092 ops/s

# Run progress: 4.00% complete, ETA 01:28:07
# Fork: 3 of 5
# Warmup Iteration   1: 5.486 ops/s
# Warmup Iteration   2: 6.070 ops/s
# Warmup Iteration   3: 6.087 ops/s
# Warmup Iteration   4: 6.087 ops/s
# Warmup Iteration   5: 6.061 ops/s
Iteration   1: 6.087 ops/s
Iteration   2: 6.083 ops/s
Iteration   3: 6.067 ops/s
Iteration   4: 6.046 ops/s
Iteration   5: 6.080 ops/s

# Run progress: 6.00% complete, ETA 01:25:57
# Fork: 4 of 5
# Warmup Iteration   1: 5.486 ops/s
# Warmup Iteration   2: 6.064 ops/s
# Warmup Iteration   3: 6.072 ops/s
# Warmup Iteration   4: 6.077 ops/s
# Warmup Iteration   5: 6.074 ops/s
Iteration   1: 6.069 ops/s
Iteration   2: 6.049 ops/s
Iteration   3: 6.077 ops/s
Iteration   4: 6.075 ops/s
Iteration   5: 6.078 ops/s

# Run progress: 8.00% complete, ETA 01:23:57
# Fork: 5 of 5
# Warmup Iteration   1: 4.823 ops/s
# Warmup Iteration   2: 5.972 ops/s
# Warmup Iteration   3: 5.994 ops/s
# Warmup Iteration   4: 5.993 ops/s
# Warmup Iteration   5: 5.996 ops/s
Iteration   1: 5.992 ops/s
Iteration   2: 5.990 ops/s
Iteration   3: 5.994 ops/s
Iteration   4: 5.994 ops/s
Iteration   5: 5.995 ops/s


Result "com.sun.glass.ui.monocle.Benchmarks.copyTo08New":
  6.062 ±(99.9%) 0.029 ops/s [Average]
  (min, avg, max) = (5.990, 6.062, 6.102), stdev = 0.039
  CI (99.9%): [6.033, 6.091] (assumes normal distribution)


# JMH version: 1.22
# VM version: JDK 12.0.2, OpenJDK Server VM, 12.0.2+10
# VM invoker: /home/ubuntu/opt/jdk-12.0.2+10/bin/java
# VM options: <none>
# Warmup: 5 iterations, 10 s each
# Measurement: 5 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.sun.glass.ui.monocle.Benchmarks.copyTo16New
# Parameters: (type = large)

# Run progress: 10.00% complete, ETA 01:22:01
# Fork: 1 of 5
# Warmup Iteration   1: 16.352 ops/s
# Warmup Iteration   2: 16.806 ops/s
# Warmup Iteration   3: 16.962 ops/s
# Warmup Iteration   4: 18.335 ops/s
# Warmup Iteration   5: 18.370 ops/s
Iteration   1: 18.014 ops/s
Iteration   2: 18.375 ops/s
Iteration   3: 18.308 ops/s
Iteration   4: 18.327 ops/s
Iteration   5: 18.343 ops/s

# Run progress: 12.00% complete, ETA 01:20:09
# Fork: 2 of 5
# Warmup Iteration   1: 16.725 ops/s
# Warmup Iteration   2: 17.414 ops/s
# Warmup Iteration   3: 18.759 ops/s
